network;sweep;n;VSS_RP_mean_pct;VSS_RP_median_pct;EVPI_RP_mean_pct;EVPI_RP_median_pct;RP_median;WS_median;EEV_nom_median;case_k;case_per_run;case_selection;bypass_multiplier;overdemand_threshold;overdemand_multiplier;case_p_fail;cost_repl_freq;cost_repl_line
mumford0;pfail;28;2.45;1.064;0.106;0.073;126073.0;125933.0;130208.0;2;;;;;;0.95;;
mumford0;replcost;30;0.003;0.0;0.032;0.0;106396.0;106330.0;106396.0;1;;;;;;;10.0;50.0
mumford0;replcost;30;0.003;0.0;0.08;0.0;115651.0;115521.0;115651.0;1;;;;;;;10.0;500.0
mumford0;replcost;30;0.011;0.0;0.088;0.0;126027.0;125845.0;126124.0;1;;;;;;;10.0;5000.0
mumford0;replcost;30;0.061;0.0;0.107;0.0;106683.0;106633.0;106683.0;1;;;;;;;100.0;50.0
mumford0;replcost;30;1.677;0.0;0.964;0.338;117406.0;115618.0;118806.0;1;;;;;;;100.0;500.0
mumford0;replcost;30;2.774;0.644;1.244;0.713;130550.0;128619.0;137956.0;1;;;;;;;100.0;5000.0
mumford0;replcost;30;0.063;0.0;0.134;0.0;106588.0;106588.0;106588.0;1;;;;;;;1000.0;50.0
mumford0;replcost;30;3.577;0.089;1.123;0.3;117359.0;115262.0;121237.0;1;;;;;;;1000.0;500.0
mumford0;replcost;30;24.662;9.484;4.619;4.881;188934.0;179712.0;208158.0;1;;;;;;;1000.0;5000.0
mumford0;replcost;28;0.006;0.0;0.074;0.0;108470.0;108396.0;108470.0;2;;;;;;;10.0;50.0
mumford0;replcost;28;0.005;0.0;0.09;0.0;126571.0;126217.0;126668.0;2;;;;;;;10.0;500.0
mumford0;replcost;28;0.012;0.0;0.101;0.106;181403.0;181146.0;181403.0;2;;;;;;;10.0;5000.0
mumford0;replcost;28;0.189;0.0;0.35;0.168;109980.0;108985.0;110335.0;2;;;;;;;100.0;50.0
mumford0;replcost;28;2.68;1.071;1.545;1.451;130797.0;129776.0;135260.0;2;;;;;;;100.0;500.0
mumford0;replcost;28;3.465;3.209;1.606;1.61;191949.0;185514.0;197679.0;2;;;;;;;100.0;5000.0
mumford0;replcost;28;0.194;0.0;0.351;0.168;109980.0;108985.0;110335.0;2;;;;;;;1000.0;50.0
mumford0;replcost;28;9.609;8.467;2.041;1.756;131931.0;130964.0;146645.0;2;;;;;;;1000.0;500.0
mumford0;replcost;28;35.631;27.212;5.446;4.782;217171.0;203733.0;292033.0;2;;;;;;;1000.0;5000.0
