source;network;scenario_line_data;procedure;routing_agg;waiting_time_frequency;gap;time_limit;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;cost_repl_freq;cost_repl_line;repl_budget;bypass_multiplier;overdemand_threshold;overdemand_multiplier;num_od;train_capacity;infrastructure_capacity;max_frequency;threads;scenario_infra_id;scenario_prob_id;case_k;case_per_run;case_variants;case_selection;case_p_fail;case_id;case_sweep_row;case_variant_idx;case_edges;case_lines;run_group_id;status_code;status;objective;runtime_s;opt_gap;cost_time;cost_time_base;cost_time_over;cost_bypass;cost_wait;cost_oper;obj_stage1;obj_stage2_exp;repl_cost_freq_exp;repl_cost_path_exp;repl_cost_exp;variant
lintim;SiouxFalls;SiouxFalls;ws;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;200;50;10;10;16;1034;1034;1;1;5;line_consecutive;0.5;1034;6;4;11-12;1,7,8;g_000;2;OPTIMAL;132803.4825;1182.5759329795835;0.0;87561.07250000005;84632.27250000004;2928.8000000000056;0.0;18161.61;24740.8;64141.39250000003;68662.09000000003;740.0;1600.0;2340.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;integrated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;200;50;10;10;16;1034;1034;1;1;5;line_consecutive;0.5;1034;6;4;11-12;1,7,8;g_000;2;OPTIMAL;134141.595;1113.1641600131989;0.0;87727.155;84472.54500000001;3254.610000000001;200.79999999999927;17988.840000000004;24724.800000000003;63766.25000000002;70375.34500000002;1900.0;1600.0;3500.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;separated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;200;50;10;10;16;1034;1034;1;1;5;line_consecutive;0.5;1034;6;4;11-12;1,7,8;g_000;2;OPTIMAL;135614.58000000002;254.2387969493866;0.0;87498.67000000004;84178.56500000003;3320.105;430.0;17873.109999999997;23572.8;63166.900000000016;72447.68000000001;3040.0;3200.0;6240.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;eev;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;200;50;10;10;16;1034;1034;1;1;5;line_consecutive;0.5;1034;6;4;11-12;1,7,8;g_000;2;OPTIMAL;135158.01499999996;278.0075650215149;0.0;88131.69499999992;84369.58999999991;3762.1049999999977;200.79999999999927;17944.72000000001;23500.8;63190.52999999994;71967.485;3780.0;1600.0;5380.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;ws;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;450;50;10;10;16;1055;1055;1;1;5;line_consecutive;0.5;1055;11;0;10-11;1,7,10;g_000;2;OPTIMAL;172455.32999999943;3617.792728900909;0.0;117878.83999999984;113645.20999999988;4233.629999999974;0.0;23403.68999999948;28322.800000000003;82797.15499999947;89658.17499999996;1170.0;1680.0;2850.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;integrated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;450;50;10;10;16;1055;1055;1;1;5;line_consecutive;0.5;1055;11;0;10-11;1,7,10;g_000;9;TIME_LIMIT;175932.94499999998;6002.183207988739;0.0431977910977973;117389.06499999989;113197.95999999988;4191.105;0.0;23125.48;28318.399999999998;82502.52999999988;93430.41500000008;1180.0;5920.0;7100.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;separated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;450;50;10;10;16;1055;1055;1;1;5;line_consecutive;0.5;1055;11;0;10-11;1,7,10;g_000;2;OPTIMAL;175926.6549999999;1294.2889218330383;0.0;116209.64499999992;113003.32499999992;3206.319999999999;0.0;22776.209999999992;27540.800000000003;81479.82999999993;94446.82499999998;2600.0;6800.0;9400.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;eev;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;450;50;10;10;16;1055;1055;1;1;5;line_consecutive;0.5;1055;11;0;10-11;1,7,10;g_000;2;OPTIMAL;175058.23999999993;1094.3939414024353;0.0;118711.61999999992;113769.07499999992;4942.544999999998;0.0;23371.82;27384.800000000003;82443.89999999994;92614.34;2230.0;3360.0;5590.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;ws;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;400;50;10;10;16;1050;1050;1;1;5;line_consecutive;0.5;1050;10;0;16-17;2,13;g_000;2;OPTIMAL;166838.875;647.7106919288635;2.3688591553722634e-06;110791.48499999996;108635.10499999997;2156.3799999999983;0.0;22344.19;28389.200000000004;79506.58499999993;87332.28999999992;890.0;4424.0;5314.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;integrated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;400;50;10;10;16;1050;1050;1;1;5;line_consecutive;0.5;1050;10;0;16-17;2,13;g_000;2;OPTIMAL;167603.22;1120.4973049163818;3.820238477805746e-15;111092.59000000004;108540.97000000004;2551.6199999999994;0.0;22445.43;28751.200000000004;79885.82999999996;87717.39000000001;890.0;4424.0;5314.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;separated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;400;50;10;10;16;1050;1050;1;1;5;line_consecutive;0.5;1050;10;0;16-17;2,13;g_000;2;OPTIMAL;169221.00999999995;143.37646317481995;0.0;111706.10999999996;108887.91499999996;2818.1949999999997;6.299999999999173;22389.0;27489.6;79122.78999999995;90098.22;3206.0;4424.0;7630.0;flat (waiting_freq=False)
